,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,157.269361749,10.0,161.262611677,img/A/inside\sun_akapxrydwpdgvlck.png,Indoor,169.254227631,16.0,167.248021051,NearLeft,0,1,0,1.0,8.0,159.256391098
1,26.0,177.262426197,30.0,181.258265846,,None,189.249898948,36.0,187.260250482,Left,1,1,1,2.0,28.0,179.252001172
2,42.0,193.262265215,46.0,197.258113612,img/A/inside\sun_aryhzqtgzrsfoydv.png,Indoor,205.249734116,52.0,203.260133245,Right,2,1,2,3.0,44.0,195.251886734
3,56.0,207.255946996,60.0,211.251710703,,None,219.260623542,66.0,217.254387564,NearRight,3,1,3,4.0,58.0,209.262109831
4,70.0,221.24960428,74.0,225.262636875,img/A/inside\sun_aaloiwdypreqzwnn.png,Indoor,235.260894763,82.0,233.253755882,NearRight,4,1,4,5.0,72.0,223.26166013
5,92.0,243.251418135,96.0,247.24719339,img/A/outside_man\sun_bwlcxhprfyrowoam.png,Outdoor,259.251230555,106.0,257.262304061,Right,5,1,5,6.0,94.0,245.258340738
6,116.0,267.260795023,120.0,271.25804817,img/A/outside_nat\sun_birbwwpwtfeczupo.png,Outdoor,281.253937513,128.0,279.26416551,Right,6,1,6,7.0,118.0,269.249042941
7,132.0,283.260505605,136.0,287.257959279,img/A/outside_nat\sun_afjxqaxhirjblfsw.png,Outdoor,295.264019225,142.0,293.261072194,NearLeft,7,1,7,8.0,134.0,285.248926053
8,146.0,297.253786329,150.0,301.248775919,img/A/outside_man\sun_bqyrpmzmnorhqiuj.png,Outdoor,311.246591455,158.0,309.257694008,NearRight,8,1,8,9.0,148.0,299.260292827
9,164.0,315.260197638,168.0,319.260814971,,None,327.263712309,174.0,325.260972804,Right,9,1,9,10.0,166.0,317.248600588
10,178.0,329.253438467,182.0,333.248459204,img/A/inside\sun_abxzvqnkfecikftq.png,Indoor,341.260651539,188.0,339.250421792,NearRight,10,1,10,11.0,180.0,331.260043654
11,196.0,347.25989422,200.0,351.257336696,img/A/inside\sun_azufbqqrxemnbupk.png,Indoor,359.263384394,206.0,357.257273003,Left,11,1,11,12.0,198.0,349.248249576
12,210.0,361.252414127,214.0,365.248145288,,None,373.256350853,220.0,371.271137808,Left,12,1,12,13.0,212.0,363.259984511
13,224.0,375.262518587,228.0,379.258376084,img/A/outside_man\sun_amiicpnvbwxskvmh.png,Outdoor,387.249960892,234.0,385.260383118,Left,13,1,13,14.0,226.0,377.252138707
14,238.0,389.258655704,242.0,393.251993123,img/A/outside_man\sun_aampbyuzlgrcrygt.png,Outdoor,403.249839455,250.0,401.260227734,NearLeft,14,1,14,15.0,240.0,391.262374403
15,256.0,407.262229518,260.0,411.258049219,,None,419.249679872,266.0,417.260060102,Right,15,1,15,16.0,258.0,409.251821991
16,276.0,427.257903635,280.0,431.253709687,img/A/inside\sun_dzuamfdvfbbjouau.png,Indoor,441.251483927,288.0,439.261915253,Left,16,1,16,17.0,278.0,429.247486309
17,298.0,449.259750386,302.0,453.255562038,img/A/outside_nat\sun_ahqrsjhcscxlyxuq.png,Outdoor,463.253445466,310.0,461.263771802,NearRight,17,1,17,18.0,300.0,451.249313112
18,314.0,465.259597802,318.0,469.255390906,,None,477.263613969,324.0,475.257384291,NearLeft,18,1,18,19.0,316.0,467.249172777
19,328.0,479.253230939,332.0,483.249002695,img/A/inside\sun_bdalroxvuvnihofa.png,Indoor,493.263446687,340.0,491.257238007,Right,19,1,19,20.0,330.0,481.33360887
20,350.0,501.255082589,354.0,505.250847346,img/A/outside_nat\sun_ajpdesmpmbcnhujq.png,Outdoor,513.259083008,360.0,511.252902325,Left,20,1,20,21.0,352.0,503.261272022
21,366.0,517.2549811,370.0,521.250690913,,None,529.263104774,376.0,527.252739592,NearLeft,21,1,21,22.0,368.0,519.261097041
22,380.0,531.248553694,384.0,535.260950057,img/A/inside\sun_asizwxdltgasvzue.png,Indoor,547.248372763,394.0,545.258750894,NearLeft,22,1,22,23.0,382.0,533.254748375
23,398.0,549.254598591,402.0,553.250399044,,None,561.258623858,408.0,559.252421826,NearRight,23,1,23,24.0,400.0,551.260767376
