,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,109.493640661,10.0,113.489455462,img/B/outside_man\sun_acevqiqryuokiacc.png,Outdoor,121.497674676,16.0,119.491430649,Left,0,1,0,1.0,8.0,111.499798947
1,24.0,127.501001417,28.0,131.49550736,,None,139.503717124,34.0,137.497502494,NearRight,1,1,1,2.0,26.0,129.489256684
2,38.0,141.493303997,42.0,145.489156944,img/B/inside\sun_abslarjcldcebort.png,Indoor,153.497366359,48.0,151.49114438,Right,2,1,2,3.0,40.0,143.499503229
3,56.0,159.499342596,60.0,163.495194843,img/B/outside_man\sun_aavgffdllieopxov.png,Outdoor,171.486807998,66.0,169.497203977,Right,3,1,3,4.0,58.0,161.488979164
4,70.0,173.492989731,74.0,177.48883183,img/B/inside\sun_acerznjesvvkvymi.png,Indoor,185.497046494,80.0,183.490828714,NearRight,4,1,4,5.0,72.0,175.499199461
5,84.0,187.486668363,88.0,191.499053177,img/B/inside\sun_aaiuzbtklnxpvzbv.png,Indoor,201.49819332,96.0,199.490794418,Left,5,1,5,6.0,86.0,189.492852196
6,100.0,203.503767519,104.0,207.498881346,,None,217.496744476,112.0,215.490502899,NearLeft,6,1,6,7.0,102.0,205.492662166
7,122.0,225.48836043,126.0,229.500829236,img/B/outside_man\sun_abjkwkawctptshmr.png,Outdoor,239.498599276,134.0,237.492375547,NearRight,7,1,7,8.0,124.0,227.494553712
8,140.0,243.494404279,144.0,247.49021978,img/B/inside\sun_aaruuebeoybyaqmu.png,Indoor,255.498433394,150.0,253.492227163,NearLeft,8,1,8,9.0,142.0,245.50060351
9,154.0,257.488026216,158.0,261.509632186,,None,271.498253163,166.0,269.492042383,Left,9,1,9,10.0,156.0,259.494235597
10,170.0,273.487906179,174.0,277.500304292,img/B/inside\sun_aaqqcbxvhtgfloyu.png,Indoor,287.49810023,182.0,285.49188525,Right,10,1,10,11.0,172.0,275.494091412
11,186.0,289.487739947,190.0,293.500158358,img/B/outside_nat\sun_aalltyvjhbzhkmvg.png,Outdoor,301.491768013,196.0,299.502140894,NearLeft,11,1,11,12.0,188.0,291.49392308
12,202.0,305.487605562,206.0,309.499983377,,None,317.491584633,212.0,315.501986911,NearRight,12,1,12,13.0,204.0,307.493770847
13,216.0,319.497826559,220.0,323.493638561,img/B/outside_nat\sun_aamsdbqhyyzabsdt.png,Outdoor,331.501847276,226.0,329.495633696,Left,13,1,13,14.0,218.0,321.487420082
14,230.0,333.491451647,234.0,337.487358839,img/B/inside\sun_aaaezlmwnuubqwpb.png,Indoor,345.495499311,240.0,343.489247585,NearLeft,14,1,14,15.0,232.0,335.497608883
15,248.0,351.497500745,252.0,355.493328145,,None,367.509637086,262.0,365.491114633,NearLeft,15,1,15,16.0,250.0,353.487104416
16,272.0,375.488967965,276.0,379.501368877,,None,387.493007229,282.0,385.50338186,Left,16,1,16,17.0,274.0,377.495187144
17,292.0,395.501222593,296.0,399.497027246,img/B/outside_nat\sun_abdoxebvkrdofyyh.png,Outdoor,407.488770236,302.0,405.499049678,NearRight,17,1,17,18.0,294.0,397.490799317
18,306.0,409.495124151,310.0,413.490665282,,None,421.498912142,316.0,419.492690513,Right,18,1,18,19.0,308.0,411.501052512
19,322.0,425.494700697,326.0,429.490515148,img/B/outside_nat\sun_aacbgqunsjqeatcv.png,Outdoor,439.488353081,334.0,437.498722813,Right,19,1,19,20.0,324.0,427.500896778
20,344.0,447.501189347,348.0,451.493046075,img/B/inside\sun_aaeycnkjwmvweywi.png,Indoor,463.496368617,358.0,461.490164486,Left,20,1,20,21.0,346.0,449.502746329
21,366.0,469.498424995,370.0,473.495763882,img/B/outside_man\sun_aanszwuidyonrpfe.png,Outdoor,483.493327095,378.0,481.50329262,NearLeft,21,1,21,22.0,368.0,471.489902714
22,382.0,485.498947839,386.0,489.495617248,,None,497.502987803,392.0,495.49819122,Right,22,1,22,23.0,384.0,487.48790338
23,400.0,503.504995536,404.0,507.503195331,img/B/inside\sun_aakuktqwgbgavllp.png,Indoor,515.491766963,410.0,513.503003201,NearRight,23,1,23,24.0,402.0,505.494081613
