,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,437.17265108,10.0,441.166377656,img/B/inside\sun_abbahynvuqekslgb.png,Indoor,453.171601893,20.0,451.164183393,NearLeft,0,1,0,1.0,8.0,439.160186824
1,24.0,455.176675296,28.0,459.158719782,,None,467.164746132,34.0,465.160897597,NearLeft,1,1,1,2.0,26.0,457.166209324
2,44.0,475.175080518,48.0,479.168087922,img/B/outside_man\sun_aabgqlyidjxjvsvx.png,Outdoor,487.159723824,54.0,485.170782631,NearLeft,2,1,2,3.0,46.0,477.161883091
3,60.0,491.155511328,64.0,495.167981183,img/B/inside\sun_aaguxgrqaehrwaip.png,Indoor,503.163251793,70.0,501.169916474,Right,3,1,3,4.0,62.0,493.162798242
4,74.0,505.165764872,78.0,509.161580024,img/B/outside_nat\sun_aamepsrqelgzeleo.png,Outdoor,519.159367912,86.0,517.169759341,NearRight,4,1,4,5.0,76.0,507.155351045
5,90.0,521.165611239,94.0,525.16143129,img/B/outside_nat\sun_aacjsxcwmkbgvpmb.png,Outdoor,533.169657152,100.0,531.163418725,NearLeft,5,1,5,6.0,92.0,523.155200562
6,104.0,535.159244026,108.0,539.155061977,img/B/inside\sun_aanvbkentoawqquo.png,Indoor,549.16949022,116.0,547.163266492,NearRight,6,1,6,7.0,106.0,537.165448156
7,122.0,553.165283324,126.0,557.161104775,,None,567.158945158,134.0,565.169335187,NearRight,7,1,7,8.0,124.0,555.154866698
8,138.0,569.165153838,142.0,573.160970739,,None,585.16495506,152.0,583.158792924,NearRight,8,1,8,9.0,140.0,571.15474771
9,156.0,587.154593377,160.0,591.167014937,,None,601.165635386,168.0,599.158621093,Right,9,1,9,10.0,158.0,589.160802757
10,174.0,605.160661373,178.0,609.156453077,,None,617.164697487,184.0,615.158485307,Right,10,1,10,11.0,176.0,607.166851505
11,188.0,619.170903018,192.0,623.16670907,img/B/inside\sun_aajuhnhxgwkyyrwb.png,Indoor,631.158290378,198.0,629.168710855,NearLeft,11,1,11,12.0,190.0,621.160494091
12,202.0,633.164521456,206.0,637.160356905,img/B/inside\sun_aajprzhesstyaktd.png,Indoor,645.168593967,212.0,643.162343991,Right,12,1,12,13.0,204.0,635.154110079
13,216.0,647.158188889,220.0,651.170572304,img/B/inside\sun_abrqvtngwzzkyunp.png,Indoor,661.168421436,228.0,659.162153612,NearRight,13,1,13,14.0,218.0,649.164367823
14,236.0,667.177824572,240.0,671.166282116,img/B/outside_nat\sun_aarnmhmjnoywelfb.png,Outdoor,679.157882672,246.0,677.168336745,NearRight,14,1,14,15.0,238.0,669.160042289
15,256.0,687.166097336,260.0,691.161897439,img/B/inside\sun_aakejyolaigkvisc.png,Indoor,699.170132751,266.0,697.163892574,Left,15,1,15,16.0,258.0,689.15568246
16,270.0,701.159700726,274.0,705.155540725,,None,713.16374209,280.0,711.15753761,Left,16,1,16,17.0,272.0,703.165933554
17,290.0,721.171992101,294.0,725.167813201,img/B/outside_man\sun_abgbtmeglahqlsmz.png,Outdoor,733.159447354,300.0,731.169815335,Right,17,1,17,18.0,292.0,723.161592622
18,310.0,741.167652919,314.0,745.163458271,,None,753.155089274,320.0,751.165477553,Left,18,1,18,19.0,312.0,743.157212145
19,324.0,755.161299004,328.0,759.159901605,img/B/outside_man\sun_aaxbnfjjlyocwwwo.png,Outdoor,769.154930391,336.0,767.16532007,Left,19,1,19,20.0,326.0,757.173306209
20,340.0,771.163384079,344.0,775.156964721,img/B/inside\sun_0ktvuinccdrmemdb.png,Indoor,783.165180435,350.0,781.158929759,Left,20,1,20,21.0,342.0,773.174649014
21,358.0,789.167198668,362.0,793.163064214,img/B/outside_man\sun_abscglgenasvhlpp.png,Outdoor,801.171222184,368.0,799.165024352,Right,21,1,21,22.0,360.0,791.173379701
22,378.0,809.162857736,382.0,813.158681286,img/B/outside_nat\sun_abadecjsoottqgbp.png,Outdoor,821.1668984,388.0,819.16068377,Left,22,1,22,23.0,380.0,811.169040519
23,392.0,823.15651152,396.0,827.168906833,,None,837.166761915,404.0,835.160476943,NearLeft,23,1,23,24.0,394.0,825.162688354
