,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,341.193542776,10.0,345.189348129,img/B/outside_nat\sun_aaacmydfmcozlpel.png,Outdoor,355.187139167,18.0,353.197548094,Right,0,1,0,1.0,8.0,343.199746557
1,28.0,363.195682796,32.0,367.208099107,,None,375.199410944,38.0,373.193199813,NearRight,1,1,1,2.0,30.0,365.184960652
2,44.0,379.195225395,48.0,383.19100485,img/B/outside_nat\sun_aadneptrbqhkzwag.png,Outdoor,391.199245411,54.0,389.193036731,NearRight,2,1,2,3.0,46.0,381.184798969
3,60.0,395.195037465,64.0,399.190854366,,None,409.188699649,72.0,407.199038934,Right,3,1,3,4.0,62.0,397.201245446
4,76.0,411.19490448,80.0,415.190656988,img/B/outside_man\sun_aacclhfjjpnqvtbz.png,Outdoor,423.198894749,86.0,421.192686769,Left,4,1,4,5.0,78.0,413.201107561
5,94.0,429.200975275,98.0,433.19675648,img/B/outside_nat\sun_aamsdbqhyyzabsdt.png,Outdoor,443.194862834,106.0,441.192043188,Left,5,1,5,6.0,96.0,431.190505104
6,112.0,447.190379818,116.0,451.186171871,img/B/outside_nat\sun_aalltyvjhbzhkmvg.png,Outdoor,459.194405083,122.0,457.188238049,NearLeft,6,1,6,7.0,114.0,449.196583248
7,126.0,461.200612364,130.0,465.196445363,img/B/inside\sun_abrfwthdzagzztaq.png,Indoor,473.18803787,136.0,471.1984272,NearRight,7,1,7,8.0,128.0,463.190154442
8,142.0,477.200452081,146.0,481.196275282,,None,489.187863939,152.0,487.198256768,NearLeft,8,1,8,9.0,144.0,479.190013407
9,158.0,493.200287949,162.0,497.200384189,,None,505.187721504,168.0,503.198078287,Right,9,1,9,10.0,160.0,495.189849975
10,178.0,513.200313146,182.0,517.191741171,img/B/inside\sun_accyvmvbgmzabmow.png,Indoor,525.199962484,188.0,523.194108665,Right,10,1,10,11.0,180.0,515.202451416
11,192.0,527.189548657,196.0,531.185361009,img/B/inside\sun_abrqvtngwzzkyunp.png,Indoor,541.199803951,204.0,539.193578823,Left,11,1,11,12.0,194.0,529.195763987
12,208.0,543.189384175,212.0,547.185184628,img/B/inside\sun_aajspcoepticvplv.png,Indoor,555.193431488,218.0,553.187221758,Left,12,1,12,13.0,210.0,545.201377381
13,222.0,557.199640869,226.0,561.200547971,img/B/inside\sun_aaczmpbmprzjcofd.png,Indoor,569.187073024,232.0,567.197443106,Right,13,1,13,14.0,224.0,559.189204644
14,236.0,571.193266656,240.0,575.189047861,,None,583.197298221,246.0,581.191052795,Left,14,1,14,15.0,238.0,573.199463788
15,250.0,585.187036978,254.0,589.199339201,img/B/inside\sun_abmbwwayihjktmqb.png,Indoor,597.190935908,260.0,595.201316838,NearLeft,15,1,15,16.0,252.0,587.193095175
16,264.0,599.197113091,268.0,603.192948191,img/B/inside\sun_aaiuzbtklnxpvzbv.png,Indoor,611.201160055,274.0,609.194968523,NearLeft,16,1,16,17.0,266.0,601.186733211
17,282.0,617.192152026,286.0,621.199055032,img/B/outside_man\sun_aavgffdllieopxov.png,Outdoor,631.196825422,294.0,629.190589795,NearRight,17,1,17,18.0,284.0,619.195775886
18,300.0,635.192626575,304.0,639.188424578,,None,651.192499189,314.0,649.202847923,NearLeft,18,1,18,19.0,302.0,637.198818107
19,318.0,653.253645644,322.0,657.194485225,img/B/outside_man\sun_aafcenazuuykcysr.png,Outdoor,665.186207568,328.0,663.196463561,Right,19,1,19,20.0,320.0,655.188246098
20,332.0,667.19230741,336.0,671.188100863,,None,679.196331276,342.0,677.190129944,NearRight,20,1,20,21.0,334.0,669.198499992
21,352.0,687.187939531,356.0,691.203292375,,None,703.1877586,366.0,701.198200424,Left,21,1,21,22.0,354.0,689.200303697
22,376.0,711.196036607,380.0,715.193843744,img/B/inside\sun_abqowuarvqqcnipn.png,Indoor,725.189657145,388.0,723.200045775,NearRight,22,1,22,23.0,378.0,713.202203292
23,392.0,727.195857427,396.0,731.191668029,img/B/outside_man\sun_abvparldyjthmojd.png,Outdoor,741.189494413,404.0,739.202214491,NearLeft,23,1,23,24.0,394.0,729.202082905
