,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,598.061137706,10.0,602.05692906,img/A/outside_nat\sun_bdtazuhapgwbydoi.png,Outdoor,610.065137775,16.0,608.058909847,NearLeft,0,1,0,1.0,8.0,600.06731279
1,20.0,612.071366403,24.0,616.067184354,,None,624.058818856,30.0,622.069183339,Left,1,1,1,2.0,22.0,614.060966925
2,34.0,626.064990091,38.0,630.060836039,img/A/outside_man\sun_bgxdivhitpqnkgdr.png,Outdoor,640.058636176,46.0,638.069029355,Right,2,1,2,3.0,36.0,628.071197371
3,52.0,644.071059836,56.0,648.066878137,,None,656.058489892,62.0,654.068878521,Right,3,1,3,4.0,54.0,646.060678906
4,72.0,664.066717155,76.0,668.062503259,img/A/inside\sun_adkonpxsblmtdukc.png,Indoor,676.070770767,82.0,674.064517992,Right,4,1,4,5.0,74.0,666.05628163
5,86.0,678.060597365,90.0,682.056160193,,None,692.070716873,98.0,690.064446949,NearLeft,5,1,5,6.0,88.0,680.066564921
6,102.0,694.060219755,106.0,698.056015659,img/A/inside\sun_aqqqvkeocxjjbmvb.png,Indoor,706.064245721,112.0,704.058025142,Right,6,1,6,7.0,104.0,696.066404988
7,116.0,708.070541542,120.0,712.066937981,img/A/inside\sun_bxipjwerkfcyzyri.png,Indoor,720.057930652,126.0,718.068953063,NearLeft,7,1,7,8.0,118.0,710.060716352
8,130.0,722.064102237,134.0,726.060578817,,None,738.068763034,144.0,736.057698627,NearRight,8,1,8,9.0,132.0,724.072402991
9,148.0,740.070823962,152.0,744.066137267,img/A/inside\sun_auipycrgwmfcakvq.png,Indoor,752.05757544,158.0,750.06796827,Left,9,1,9,10.0,150.0,742.059746956
10,164.0,756.070009949,168.0,760.065815652,img/A/outside_nat\sun_bzvypibloyofysgl.png,Outdoor,770.063629438,176.0,768.074050614,Left,10,1,10,11.0,166.0,758.059594723
11,180.0,772.074910121,184.0,776.065659919,,None,784.057243326,190.0,782.067665202,NearLeft,11,1,11,12.0,182.0,774.059447039
12,194.0,786.063491902,198.0,790.05933995,img/A/outside_nat\sun_anbimwjszaokyqiw.png,Outdoor,798.067532217,204.0,796.061295539,NearRight,12,1,12,13.0,196.0,788.069668386
13,210.0,802.063340719,214.0,806.05915657,,None,816.056954257,222.0,814.068029863,NearRight,13,1,13,14.0,212.0,804.069522802
14,232.0,824.066430885,236.0,828.060971824,,None,838.058857702,244.0,836.069233033,Right,14,1,14,15.0,234.0,826.073787442
15,250.0,842.071241117,254.0,846.067074816,img/A/inside\sun_aryhzqtgzrsfoydv.png,Indoor,858.071104281,264.0,856.064898051,NearRight,15,1,15,16.0,252.0,844.060832189
16,272.0,864.056492307,276.0,868.068930666,img/A/inside\sun_axoigjlwlboezeqx.png,Indoor,876.06054802,282.0,874.070963597,Left,16,1,16,17.0,274.0,866.062692239
17,292.0,884.068773183,296.0,888.064594284,img/A/outside_man\sun_aampbyuzlgrcrygt.png,Outdoor,898.06240317,304.0,896.072800199,Left,17,1,17,18.0,294.0,886.058389803
18,308.0,900.068599602,312.0,904.064453249,img/A/outside_man\sun_aofpsyendjarjvaw.png,Outdoor,912.059608721,318.0,910.066445934,NearLeft,18,1,18,19.0,310.0,902.058235119
19,328.0,920.064297516,332.0,924.060074871,img/A/inside\sun_bdmgmqsmmqkthilp.png,Indoor,932.068349029,338.0,930.062077355,NearRight,19,1,19,20.0,330.0,922.070485198
20,346.0,938.070351863,350.0,942.066171563,img/A/inside\sun_auywjwqsitnzurig.png,Indoor,952.064018946,358.0,950.057782268,NearLeft,20,1,20,21.0,348.0,940.059908289
21,364.0,956.059795601,368.0,960.055617752,,None,968.063860763,374.0,966.057627585,Left,21,1,21,22.0,366.0,958.065995532
22,380.0,972.059662265,384.0,976.055419323,img/A/outside_nat\sun_avyaxgkxlaeedguu.png,Outdoor,984.063711679,390.0,982.0574904,NearRight,22,1,22,23.0,382.0,974.065849598
23,394.0,986.069918259,398.0,990.065714513,img/A/outside_man\sun_acojhtjciuciuhey.png,Outdoor,998.057355664,404.0,996.067668702,Right,23,1,23,24.0,396.0,988.059441089
