,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,319.689050486,10.0,323.688195178,img/B/outside_nat\sun_aafqfjpechscyidz.png,Outdoor,331.693070152,16.0,329.686847474,NearLeft,0,1,0,1.0,8.0,321.695167126
1,20.0,333.682835156,24.0,337.695067037,,None,345.686700139,30.0,343.680472561,Left,1,1,1,2.0,22.0,335.688901402
2,34.0,347.69290777,38.0,351.68873307,img/B/outside_nat\sun_aaivblcmcmxaurgo.png,Outdoor,361.687234182,46.0,359.682699021,Right,2,1,2,3.0,36.0,349.682507942
3,52.0,365.683037434,56.0,369.694812264,,None,377.68641737,62.0,375.696840996,Right,3,1,3,4.0,54.0,367.692277838
4,72.0,385.694633434,76.0,389.690449285,img/B/inside\sun_abrfwthdzagzztaq.png,Indoor,397.68214818,82.0,395.692469267,Right,4,1,4,5.0,74.0,387.684226606
5,86.0,399.688286868,90.0,403.68409502,,None,413.681930504,98.0,411.692284137,NearLeft,5,1,5,6.0,88.0,401.694471751
6,102.0,415.694103241,106.0,419.683988982,img/B/inside\sun_aatezwwkfesvyuij.png,Indoor,427.692179848,112.0,425.68595122,Right,6,1,6,7.0,104.0,417.694372712
7,116.0,429.681829715,120.0,433.694245676,img/B/inside\sun_abzoglkibwvlanfr.png,Indoor,441.685789188,126.0,439.679609904,NearLeft,7,1,7,8.0,118.0,431.688000249
8,130.0,443.692011167,134.0,447.68780882,,None,459.691870832,144.0,457.685655852,NearRight,8,1,8,9.0,132.0,445.681612388
9,148.0,461.681458055,152.0,465.693898163,img/B/inside\sun_abaergayifsgacxt.png,Indoor,473.685523566,158.0,471.695878949,Left,9,1,9,10.0,150.0,463.687643988
10,164.0,477.681311071,168.0,481.693721432,img/B/outside_nat\sun_aamsdbqhyyzabsdt.png,Outdoor,491.691579313,176.0,489.685356284,Left,10,1,10,11.0,166.0,479.687494554
11,180.0,493.681212031,184.0,497.693585297,,None,505.685194602,190.0,503.679010419,NearLeft,11,1,11,12.0,182.0,495.68733952
12,194.0,507.691414131,198.0,511.687237331,img/B/outside_man\sun_aajumnzgihznlagm.png,Outdoor,519.678870434,204.0,517.689246815,NearRight,12,1,12,13.0,196.0,509.681021652
13,210.0,523.691231101,214.0,527.687094897,,None,537.684926881,222.0,535.695289963,NearRight,13,1,13,14.0,212.0,525.680869768
14,232.0,545.693158343,236.0,549.688962295,,None,559.68678658,244.0,557.680583499,Right,14,1,14,15.0,234.0,547.682742416
15,250.0,563.682607331,254.0,567.695013493,img/B/inside\sun_aaxzhukkwykojsek.png,Indoor,579.682461747,264.0,577.692829378,NearRight,15,1,15,16.0,252.0,565.688793964
16,272.0,585.68446913,276.0,589.680291281,img/B/inside\sun_aaxoyiyedszmasjo.png,Indoor,597.688478298,282.0,595.682273467,Left,16,1,16,17.0,274.0,587.690658562
17,292.0,605.696725508,296.0,609.692566907,img/B/outside_nat\sun_aaaxbrksvmdyrhpe.png,Outdoor,619.697397786,304.0,617.684170962,Left,17,1,17,18.0,294.0,607.686298033
18,308.0,621.679993113,312.0,625.692398575,img/B/outside_man\sun_aaoambggxfqxoibv.png,Outdoor,633.684026778,318.0,631.694403159,NearLeft,18,1,18,19.0,310.0,623.686193394
19,328.0,641.692929818,332.0,645.688752668,img/B/inside\sun_aahutlxpfsmsmmqi.png,Indoor,653.679680596,338.0,651.690747103,NearRight,19,1,19,20.0,330.0,643.683854246
20,346.0,659.681708628,350.0,663.694797566,img/B/inside\sun_aajspcoepticvplv.png,Indoor,673.691950273,358.0,671.685711846,NearLeft,20,1,20,21.0,348.0,661.690438086
21,364.0,677.687774873,368.0,681.683567627,,None,689.691799089,374.0,687.685570111,Left,21,1,21,22.0,366.0,679.693941908
22,380.0,693.687617041,384.0,697.683432892,img/B/outside_man\sun_abtzbdcoykoqzupl.png,Outdoor,705.691658055,390.0,703.685434326,NearRight,22,1,22,23.0,382.0,695.693793174
23,394.0,707.681271875,398.0,711.693681886,img/B/outside_man\sun_abuxdbyqfhrcggnx.png,Outdoor,719.685309739,404.0,717.679063263,Right,23,1,23,24.0,396.0,709.687476706
