,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,687.323352176,10.0,691.319116933,img/B/outside_nat\sun_aaansjgvhbrbxvvk.png,Outdoor,699.327357494,16.0,697.321111718,NearLeft,0,1,0,1.0,8.0,689.330289128
1,20.0,701.316947167,24.0,705.32934878,,None,713.320958085,30.0,711.314733306,Left,1,1,1,2.0,22.0,703.323139049
2,34.0,715.327164315,38.0,719.322970018,img/B/outside_nat\sun_aalcoddsgakiyibg.png,Outdoor,729.320745658,46.0,727.314549926,Right,2,1,2,3.0,36.0,717.316915671
3,52.0,733.316797383,56.0,737.328991818,,None,745.320580475,62.0,743.330971905,Right,3,1,3,4.0,54.0,735.322782088
4,72.0,753.328801439,76.0,757.327048478,img/B/inside\sun_aaeycnkjwmvweywi.png,Indoor,765.316217846,82.0,763.326597027,Right,4,1,4,5.0,74.0,755.318434157
5,86.0,767.322413928,90.0,771.318192333,,None,781.316098859,98.0,779.326415746,NearLeft,5,1,5,6.0,88.0,769.328616659
6,102.0,783.322230897,106.0,787.318003703,img/B/inside\sun_aaguxgrqaehrwaip.png,Indoor,795.326234816,112.0,793.320027535,Right,6,1,6,7.0,104.0,785.328426629
7,116.0,797.315847936,120.0,801.328259347,img/B/inside\sun_aaqqcbxvhtgfloyu.png,Indoor,809.319836806,126.0,807.313743963,NearLeft,7,1,7,8.0,118.0,799.322037718
8,130.0,811.326066484,134.0,815.321847689,,None,827.325854757,144.0,825.319636627,NearRight,8,1,8,9.0,132.0,813.315649157
9,148.0,829.315447229,152.0,833.327877888,img/B/inside\sun_aajspcoepticvplv.png,Indoor,841.319464796,158.0,839.329869874,Left,9,1,9,10.0,150.0,831.321666058
10,164.0,845.315316693,168.0,849.32767666,img/B/outside_man\sun_aaxppqqoemukaosc.png,Outdoor,859.325483447,176.0,857.319267417,Left,10,1,10,11.0,166.0,847.321481628
11,180.0,861.315057021,184.0,865.327496779,,None,873.319087886,190.0,871.329510812,NearLeft,11,1,11,12.0,182.0,863.321290199
12,194.0,875.325302516,198.0,879.321115218,img/B/outside_nat\sun_aabhqzsffoeycgje.png,Outdoor,887.329311684,204.0,885.323095304,NearRight,12,1,12,13.0,196.0,877.314894989
13,210.0,891.325127535,214.0,895.320933937,,None,905.318743873,222.0,903.329126904,NearRight,13,1,13,14.0,212.0,893.314704609
14,232.0,913.326948039,236.0,917.322723294,,None,927.320571376,244.0,925.330950207,Right,14,1,14,15.0,234.0,915.316521613
15,250.0,931.316346982,254.0,935.328732496,img/B/inside\sun_aanvbkentoawqquo.png,Indoor,947.316160802,264.0,945.32656623,NearRight,15,1,15,16.0,252.0,933.322535365
16,272.0,953.318175185,276.0,957.313970038,img/B/inside\sun_abslarjcldcebort.png,Indoor,965.322182253,282.0,963.315973922,Left,16,1,16,17.0,274.0,955.324359718
17,292.0,973.330393417,296.0,977.326212068,img/B/outside_man\sun_absfbbobjbzkaliz.png,Outdoor,987.324022354,304.0,985.317837821,Left,17,1,17,18.0,294.0,975.320002338
18,308.0,989.313607827,312.0,993.326040237,img/B/outside_nat\sun_aabtemlmesogqbbp.png,Outdoor,1001.31762084,318.0,999.328025222,NearLeft,18,1,18,19.0,310.0,991.32072711
19,328.0,1009.32584146,332.0,1013.32162511,img/B/inside\sun_aaczmpbmprzjcofd.png,Indoor,1021.32984538,338.0,1019.32364195,NearRight,19,1,19,20.0,330.0,1011.31542553
20,346.0,1027.31524845,350.0,1031.32767701,img/B/inside\sun_abakyssezpogcttw.png,Indoor,1041.32552789,358.0,1039.31928212,NearLeft,20,1,20,21.0,348.0,1029.32144663
21,364.0,1045.3212776,368.0,1049.3171001,,None,1057.32529307,374.0,1055.31995964,Left,21,1,21,22.0,366.0,1047.32743624
22,380.0,1061.32107462,384.0,1065.31689152,img/B/outside_man\sun_abgbtmeglahqlsmz.png,Outdoor,1073.32512649,390.0,1071.31887126,NearRight,22,1,22,23.0,382.0,1063.3272896
23,394.0,1075.31470041,398.0,1079.32709502,img/B/outside_man\sun_abjkwkawctptshmr.png,Outdoor,1087.31876347,404.0,1085.3291164,Right,23,1,23,24.0,396.0,1077.32088669
