,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1101.87195091,10.0,1105.86780246,img/A/outside_man\sun_aaafvavryivlwifa.png,Outdoor,1113.85937957,16.0,1111.86975455,Left,0,1,0,1.0,8.0,1103.86156753
1,24.0,1119.8613873,28.0,1123.87380466,,None,1131.86544406,34.0,1129.87583024,NearRight,1,1,1,2.0,26.0,1121.86758303
2,38.0,1133.87164119,42.0,1137.86746929,img/A/inside\sun_abmkzxvudrcajnle.png,Indoor,1145.8757193,48.0,1143.86944833,Right,2,1,2,3.0,40.0,1135.86123052
3,56.0,1151.86108318,60.0,1155.87354359,img/A/outside_man\sun_bwlcxhprfyrowoam.png,Outdoor,1163.86513994,66.0,1161.87551843,Right,3,1,3,4.0,58.0,1153.86730201
4,70.0,1165.87137242,74.0,1169.86733456,img/A/inside\sun_atbyxovooehnzemf.png,Indoor,1177.87537319,80.0,1175.86918901,NearRight,4,1,4,5.0,72.0,1167.86093515
5,84.0,1179.86498001,88.0,1183.86078116,img/A/inside\sun_baremcyvmmyztjyo.png,Indoor,1193.87522376,96.0,1191.86899268,Left,5,1,5,6.0,86.0,1181.87118589
6,100.0,1195.86481658,104.0,1199.86062753,,None,1209.87508272,112.0,1207.86885479,NearLeft,6,1,6,7.0,102.0,1197.87103226
7,122.0,1217.86670148,126.0,1221.86249668,img/A/outside_nat\sun_bvtpjuydnnzmqcwv.png,Outdoor,1231.86033776,134.0,1229.87072919,NearRight,7,1,7,8.0,124.0,1219.87289651
8,140.0,1235.87279502,144.0,1239.86854123,img/A/inside\sun_bcxxsjdyzkdxyrzz.png,Indoor,1247.86017608,150.0,1245.8706081,NearLeft,8,1,8,9.0,142.0,1237.8623378
9,154.0,1249.86639246,158.0,1253.86219536,,None,1263.86002245,166.0,1261.87042892,Left,9,1,9,10.0,156.0,1251.87258994
10,170.0,1265.86629342,174.0,1269.86204978,img/A/inside\sun_agxipqjrftuwlwpl.png,Indoor,1279.85987476,182.0,1277.87027389,Right,10,1,10,11.0,172.0,1267.87244961
11,186.0,1281.86608834,190.0,1285.8618895,img/A/outside_nat\sun_afjxqaxhirjblfsw.png,Outdoor,1293.87013986,196.0,1291.86392593,NearLeft,11,1,11,12.0,188.0,1283.87229177
12,202.0,1297.86594311,206.0,1301.86173586,,None,1309.86995438,212.0,1307.86375339,NearRight,12,1,12,13.0,204.0,1299.87213534
13,216.0,1311.8595696,220.0,1315.87203665,img/A/outside_man\sun_advvqhvtshxmmuea.png,Outdoor,1323.86361691,226.0,1321.87400099,Left,13,1,13,14.0,218.0,1313.86579822
14,230.0,1325.86986549,234.0,1329.86563724,img/A/inside\sun_akihpnhiblchzhgq.png,Indoor,1337.8738666,240.0,1335.86767822,NearLeft,14,1,14,15.0,232.0,1327.85941036
15,248.0,1343.87586279,252.0,1347.87168179,,None,1359.8757116,262.0,1357.86951587,NearLeft,15,1,15,16.0,250.0,1345.86546751
16,272.0,1367.86733106,276.0,1371.86317001,,None,1379.87138082,282.0,1377.86516024,Left,16,1,16,17.0,274.0,1369.87360623
17,292.0,1387.86299538,296.0,1391.85881473,img/A/outside_nat\sun_biykcvrzhhhqlcep.png,Outdoor,1399.86702869,302.0,1397.86082666,NearRight,17,1,17,18.0,294.0,1389.869217
18,306.0,1401.87320692,310.0,1405.86906127,,None,1413.86067898,316.0,1411.8710795,Right,18,1,18,19.0,308.0,1403.86285574
19,322.0,1417.87309774,326.0,1421.86892759,img/A/outside_man\sun_aofpsyendjarjvaw.png,Outdoor,1431.86672842,334.0,1429.86062228,Right,19,1,19,20.0,324.0,1419.86268601
20,344.0,1439.87496409,348.0,1443.87077504,img/A/inside\sun_abhfieooonebxjrg.png,Indoor,1455.87486855,358.0,1453.86861997,Left,20,1,20,21.0,346.0,1441.86458525
21,366.0,1461.86023382,370.0,1465.87288531,img/A/outside_nat\sun_atkmuptskkmzkdpk.png,Outdoor,1475.87048317,378.0,1473.86425209,NearLeft,21,1,21,22.0,368.0,1463.86641731
22,382.0,1477.86007004,386.0,1481.8724755,,None,1489.86410581,392.0,1487.87450458,Right,22,1,22,23.0,384.0,1479.86626647
23,400.0,1495.86612369,404.0,1499.86196124,img/A/inside\sun_ahvaoneopufydell.png,Indoor,1507.8701815,410.0,1505.86395847,NearRight,23,1,23,24.0,402.0,1497.87232502
