,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,577.530716362,10.0,581.526486718,,None,589.518094623,16.0,587.528484303,Right,0,1,0,1.0,8.0,579.52026089
1,20.0,591.524287556,24.0,595.520124405,img/B/outside_nat\sun_aazwxarwchtbkpuq.png,Outdoor,603.528343618,30.0,601.522137387,Left,1,1,1,2.0,22.0,593.530490987
2,40.0,611.519944874,44.0,615.515752676,img/B/outside_nat\sun_aalzlpkakxhogvru.png,Outdoor,623.52397084,50.0,621.517763559,Right,2,1,2,3.0,42.0,613.526160204
3,60.0,631.5322177,64.0,635.528030052,img/B/inside\sun_aakuktqwgbgavllp.png,Indoor,645.525862386,72.0,643.519626408,NearLeft,3,1,3,4.0,62.0,633.521812972
4,76.0,647.51543911,80.0,651.527848072,,None,659.519498322,86.0,657.529876453,NearLeft,4,1,4,5.0,78.0,649.521659689
5,90.0,661.525712602,94.0,665.521518654,,None,675.519341189,102.0,673.52971372,NearRight,5,1,5,6.0,92.0,663.515264479
6,106.0,677.52554042,110.0,681.521345773,img/B/outside_man\sun_abjgcvejnikiqaly.png,Outdoor,689.529566736,116.0,687.523330059,NearRight,6,1,6,7.0,108.0,679.531723904
7,120.0,691.519164108,124.0,695.51497681,,None,705.529513892,132.0,703.523176775,Left,7,1,7,8.0,122.0,693.525369289
8,136.0,707.519035672,140.0,711.514813027,img/B/inside\sun_abmbwwayihjktmqb.png,Indoor,719.523033991,146.0,717.516817261,NearRight,8,1,8,9.0,138.0,709.525161411
9,152.0,723.518857191,156.0,727.531274552,img/B/outside_man\sun_aajuzribjrizdshh.png,Outdoor,735.522876858,162.0,733.51664228,NearLeft,9,1,9,10.0,154.0,725.525063072
10,172.0,743.531128268,176.0,747.526929071,img/B/inside\sun_aaxzhukkwykojsek.png,Indoor,755.518543275,182.0,753.528932255,Left,10,1,10,11.0,174.0,745.520713391
11,190.0,761.52054086,194.0,765.51636861,img/B/inside\sun_aanbmbnyyowsobsg.png,Indoor,777.520390026,204.0,775.530800003,NearRight,11,1,11,12.0,192.0,763.526761789
12,208.0,779.526626703,212.0,783.522412808,,None,791.530657219,218.0,789.524442589,NearRight,12,1,12,13.0,210.0,781.516205177
13,222.0,793.520245142,226.0,797.516053644,img/B/outside_nat\sun_aaqyzvrweabdxjzo.png,Outdoor,805.524299804,232.0,803.518053328,NearLeft,13,1,13,14.0,224.0,795.526464671
14,238.0,809.520302185,242.0,813.51589861,img/B/outside_man\sun_accnapeyuiitgzxz.png,Outdoor,823.530339453,250.0,821.524125873,Right,14,1,14,15.0,240.0,811.526302638
15,256.0,827.526161254,260.0,831.521947008,img/B/inside\sun_aaaezlmwnuubqwpb.png,Indoor,839.530155023,266.0,837.52397189,Left,15,1,15,16.0,258.0,829.515733078
16,276.0,847.522463202,280.0,851.520034464,,None,861.532786739,288.0,859.526547612,Left,16,1,16,17.0,278.0,849.528659634
17,292.0,863.522310969,296.0,867.517585778,img/B/outside_nat\sun_aabhqzsffoeycgje.png,Outdoor,875.52656686,302.0,873.519446528,Left,17,1,17,18.0,294.0,865.528597341
18,312.0,883.517308258,316.0,887.531429235,,None,897.52887906,324.0,895.521310427,Right,18,1,18,19.0,314.0,885.523512389
19,328.0,899.517137127,332.0,903.529558687,img/B/outside_man\sun_aaxbnfjjlyocwwwo.png,Outdoor,911.521164142,338.0,909.53240808,NearRight,19,1,19,20.0,330.0,901.523349307
20,344.0,915.51701604,348.0,919.529411703,img/B/inside\sun_aamjvvtynbmxfheq.png,Indoor,931.516863106,358.0,929.527177194,NearLeft,20,1,20,21.0,346.0,917.523203023
21,362.0,933.523061638,366.0,937.518819395,img/B/inside\sun_abwmjfnrmqjdltxn.png,Indoor,945.527033709,372.0,943.520828879,Right,21,1,21,22.0,364.0,935.529244071
22,378.0,949.522897855,382.0,953.518663312,,None,961.526876576,388.0,959.520704992,NearLeft,22,1,22,23.0,380.0,951.529081689
23,392.0,963.516544291,396.0,967.528943103,img/B/inside\sun_abzjxlmkwnwzimua.png,Indoor,977.52675094,404.0,975.520514612,Right,23,1,23,24.0,394.0,965.522730224
