,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1286.96455092,10.0,1290.96451593,img/A/outside_nat\sun_azwqfihcsoflfihf.png,Outdoor,1298.96373306,16.0,1296.97258186,Right,0,1,0,1.0,8.0,1288.96450788
1,20.0,1300.96373831,24.0,1304.96417751,img/A/inside\sun_akapxrydwpdgvlck.png,Indoor,1312.96358153,30.0,1310.96363437,Left,1,1,1,2.0,22.0,1302.96369737
2,34.0,1314.96359588,38.0,1318.96358853,img/A/outside_man\sun_aadopnnweznhggye.png,Outdoor,1326.96350244,44.0,1324.96352588,NearRight,2,1,2,3.0,36.0,1316.96358958
3,50.0,1330.96348179,54.0,1334.96345589,,None,1342.96332431,60.0,1340.9633796,Right,3,1,3,4.0,52.0,1332.96345379
4,64.0,1344.96336875,68.0,1348.9633397,,None,1358.96324906,76.0,1356.96322877,NearRight,4,1,4,5.0,66.0,1346.9633327
5,80.0,1360.96321897,84.0,1364.96320427,img/A/inside\sun_driyvaqmmhjdxhuk.png,Indoor,1372.96310068,90.0,1370.96312763,Right,5,1,5,6.0,82.0,1362.96319167
6,100.0,1380.96304679,104.0,1384.96427305,,None,1392.96932161,110.0,1390.96401128,Left,6,1,6,7.0,102.0,1382.96372641
7,118.0,1398.96302789,122.0,1402.96284766,,None,1412.96280426,130.0,1410.96281021,NearLeft,7,1,7,8.0,120.0,1400.96286306
8,134.0,1414.96276647,138.0,1418.96270592,img/A/outside_man\sun_bjeuogjtlonvfbet.png,Outdoor,1428.96265833,146.0,1426.96265588,Left,8,1,8,9.0,136.0,1416.96424331
9,156.0,1436.96551402,160.0,1440.96254039,img/A/inside\sun_audojkeusubmhhcn.png,Indoor,1450.96621219,168.0,1448.9642888,NearLeft,9,1,9,10.0,158.0,1438.96254109
10,178.0,1458.96308493,182.0,1462.9638125,img/A/outside_man\sun_astlunkqpzghjdau.png,Outdoor,1472.96227722,190.0,1470.96317837,Left,10,1,10,11.0,180.0,1460.96378066
11,194.0,1474.96226917,198.0,1478.96222122,img/A/outside_nat\sun_biykcvrzhhhqlcep.png,Outdoor,1486.96213338,204.0,1484.96214913,NearLeft,11,1,11,12.0,196.0,1476.96223452
12,214.0,1494.96213758,218.0,1498.962013,img/A/outside_man\sun_acojhtjciuciuhey.png,Outdoor,1506.9619962,224.0,1504.9619794,Right,12,1,12,13.0,216.0,1496.96205709
13,228.0,1508.9619738,232.0,1512.96408302,,None,1520.96182157,238.0,1518.96185726,Left,13,1,13,14.0,230.0,1510.96207984
14,246.0,1526.96257154,250.0,1530.96176522,img/A/outside_nat\sun_atairfpicwcmswbb.png,Outdoor,1538.97839928,256.0,1536.96172148,NearLeft,14,1,14,15.0,248.0,1528.96414287
15,260.0,1540.96170328,264.0,1544.96162909,img/A/inside\sun_blkzrscmyrliztij.png,Indoor,1554.96158289,272.0,1552.96157134,Left,15,1,15,16.0,262.0,1542.96222017
16,276.0,1556.96157799,280.0,1560.96413342,img/A/inside\sun_abxzvqnkfecikftq.png,Indoor,1572.96160984,290.0,1570.96466641,Right,16,1,16,17.0,278.0,1558.96306428
17,294.0,1574.96138866,298.0,1578.96136907,,None,1588.96130222,306.0,1586.96130607,NearLeft,17,1,17,18.0,296.0,1576.96405853
18,310.0,1590.96128543,314.0,1594.96123188,,None,1602.96119968,320.0,1600.96115909,NearRight,18,1,18,19.0,312.0,1592.96123223
19,328.0,1608.96113879,332.0,1612.9610856,,None,1620.96104325,338.0,1618.9610408,Right,19,1,19,20.0,330.0,1610.9610821
20,346.0,1626.96332746,350.0,1630.96182962,img/A/outside_nat\sun_adeqcskxygdmtcul.png,Outdoor,1638.96088402,356.0,1636.96088787,NearRight,20,1,20,21.0,348.0,1628.96353568
21,360.0,1640.96085602,364.0,1644.96081578,img/A/inside\sun_atkrisvsrzpbgyxu.png,Indoor,1652.96075943,370.0,1650.96077378,NearRight,21,1,21,22.0,362.0,1642.96081228
22,374.0,1654.96459922,378.0,1658.96066144,img/A/inside\sun_axoigjlwlboezeqx.png,Indoor,1670.9606121,388.0,1668.9606247,NearRight,22,1,22,23.0,376.0,1656.96068944
23,394.0,1674.9605617,398.0,1678.96052846,img/A/inside\sun_aqqqvkeocxjjbmvb.png,Indoor,1686.96044867,404.0,1684.96049136,NearLeft,23,1,23,24.0,396.0,1676.96052706
