,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1059.32167901,10.0,1063.32166536,img/B/outside_nat\sun_aaacmydfmcozlpel.png,Outdoor,1071.32161216,16.0,1069.32158557,Right,0,1,0,1.0,8.0,1061.32166186
1,20.0,1073.32158767,24.0,1077.32156492,img/B/inside\sun_aaczmpbmprzjcofd.png,Indoor,1085.32148303,30.0,1083.32153762,Left,1,1,1,2.0,22.0,1075.32155792
2,34.0,1087.32147883,38.0,1091.32146658,img/B/outside_nat\sun_aacbgqunsjqeatcv.png,Outdoor,1099.32143648,44.0,1097.32145258,NearRight,2,1,2,3.0,36.0,1089.32144453
3,50.0,1103.32140604,54.0,1107.32136614,,None,1115.32134549,60.0,1113.32131435,Right,3,1,3,4.0,52.0,1105.32136299
4,64.0,1117.32153167,68.0,1121.32125135,,None,1131.32123246,76.0,1129.32121321,NearRight,4,1,4,5.0,66.0,1119.32127375
5,80.0,1133.32119781,84.0,1137.32116946,img/B/inside\sun_aaoyqijdfqbzwraw.png,Indoor,1145.32114741,90.0,1143.32111347,Right,5,1,5,6.0,82.0,1135.32119326
6,100.0,1153.32107812,104.0,1157.32105362,,None,1165.32099833,110.0,1163.32101408,Left,6,1,6,7.0,102.0,1155.32104418
7,118.0,1171.32096088,122.0,1175.32094234,,None,1185.3208468,130.0,1183.32087094,NearLeft,7,1,7,8.0,120.0,1173.32093884
8,134.0,1187.3208475,138.0,1191.3208405,img/B/outside_man\sun_aajuzribjrizdshh.png,Outdoor,1201.32075196,146.0,1199.32074216,Left,8,1,8,9.0,136.0,1189.32082965
9,156.0,1209.32071556,160.0,1213.32067217,img/B/inside\sun_abrqvtngwzzkyunp.png,Indoor,1223.32059552,168.0,1221.32061057,NearLeft,9,1,9,10.0,158.0,1211.32070156
10,178.0,1231.32057068,182.0,1235.32054723,img/B/outside_man\sun_abscglgenasvhlpp.png,Outdoor,1245.32047724,190.0,1243.32045799,Left,10,1,10,11.0,180.0,1233.32055318
11,194.0,1247.32046254,198.0,1251.32043384,img/B/outside_man\sun_accbrnzxuvtlnfte.png,Outdoor,1259.32040339,204.0,1257.32040269,NearLeft,11,1,11,12.0,196.0,1249.32044154
12,214.0,1267.32036,218.0,1271.32033375,img/B/outside_nat\sun_abaifaanomiouwiq.png,Outdoor,1279.32026726,224.0,1277.32049543,Right,12,1,12,13.0,216.0,1269.32030331
13,228.0,1281.32025641,232.0,1285.32022876,,None,1293.32016262,238.0,1291.32020462,Left,13,1,13,14.0,230.0,1283.32019727
14,246.0,1299.32012132,250.0,1303.32012727,img/B/outside_man\sun_acfkaobymiptdeij.png,Outdoor,1311.32004608,256.0,1309.32004048,NearLeft,14,1,14,15.0,248.0,1301.32009298
15,260.0,1313.32003768,264.0,1317.31999919,img/B/inside\sun_aamrqohnymdzzcsm.png,Indoor,1327.31994844,272.0,1325.3365713,Left,15,1,15,16.0,262.0,1315.31999779
16,276.0,1329.31992815,280.0,1333.33661785,img/B/inside\sun_aakuktqwgbgavllp.png,Indoor,1345.31982176,290.0,1343.33651951,Right,16,1,16,17.0,278.0,1331.31990925
17,294.0,1347.31983506,298.0,1351.31981301,,None,1361.31969647,306.0,1359.33643237,NearLeft,17,1,17,18.0,296.0,1349.33648066
18,310.0,1363.31971047,314.0,1367.31969997,,None,1375.31964083,320.0,1373.31960898,NearRight,18,1,18,19.0,312.0,1365.31968982
19,328.0,1381.33628503,332.0,1385.31958728,,None,1393.33620769,338.0,1391.31952779,Right,19,1,19,20.0,330.0,1383.31954949
20,346.0,1399.33616394,350.0,1403.32105222,img/B/outside_nat\sun_abadecjsoottqgbp.png,Outdoor,1411.32023611,356.0,1409.3360824,NearRight,20,1,20,21.0,348.0,1401.3194585
21,360.0,1413.32024976,364.0,1417.32020917,img/B/inside\sun_aaxoyiyedszmasjo.png,Indoor,1425.32014547,370.0,1423.33670324,NearRight,21,1,21,22.0,362.0,1415.32020567
22,374.0,1427.32013427,378.0,1431.32012062,img/B/inside\sun_abqowuarvqqcnipn.png,Indoor,1443.33588782,388.0,1441.34068371,NearRight,22,1,22,23.0,376.0,1429.32009298
23,394.0,1447.33585598,398.0,1451.31914423,img/B/inside\sun_abrfwthdzagzztaq.png,Indoor,1459.31908999,404.0,1457.31910818,NearLeft,23,1,23,24.0,396.0,1449.31915683
