,cue,cue_flip,dly,dly_flip,imgfile,imgtype,iti_flip,mgs,mgs_flip,side,thisN,thisRepN,thisTrialN,trial,vgs,vgs_flip
0,6.0,1506.59957283,10.0,1510.59959313,img/A/inside\sun_bsmswguoyiamatyu.png,Indoor,1518.59953469,16.0,1516.59952734,NearLeft,0,1,0,1.0,8.0,1508.59955464
1,26.0,1526.59954309,30.0,1530.59950179,,None,1538.59946365,36.0,1536.59946435,Left,1,1,1,2.0,28.0,1528.59970267
2,42.0,1542.59948884,46.0,1546.5994444,img/A/inside\sun_asizwxdltgasvzue.png,Indoor,1554.59943635,52.0,1552.59943495,Right,2,1,2,3.0,44.0,1544.59951334
3,56.0,1556.599408,60.0,1560.5994507,,None,1568.59938455,66.0,1566.599387,NearRight,3,1,3,4.0,58.0,1558.5994332
4,70.0,1570.59936846,74.0,1574.5993891,img/A/inside\sun_adkonpxsblmtdukc.png,Indoor,1584.59933066,82.0,1582.59932436,NearRight,4,1,4,5.0,72.0,1572.59936111
5,92.0,1592.59932436,96.0,1596.59929496,img/A/outside_man\sun_abcpbpidmlveztau.png,Outdoor,1608.59925262,106.0,1606.59928866,Right,5,1,5,6.0,94.0,1594.59928796
6,116.0,1616.59922392,120.0,1620.59920292,img/A/outside_man\sun_abmwkkexqzjttlyv.png,Outdoor,1630.59918368,128.0,1628.59918752,Right,6,1,6,7.0,118.0,1618.59923127
7,132.0,1632.59917913,136.0,1636.59918368,img/A/outside_man\sun_auprwsaegvmiaiwa.png,Outdoor,1644.59914448,142.0,1642.59914308,NearLeft,7,1,7,8.0,134.0,1634.59916198
8,146.0,1646.6032814,150.0,1650.59912033,img/A/outside_nat\sun_aofakjvzflfwxapl.png,Outdoor,1660.59909058,158.0,1658.59908884,NearRight,8,1,8,9.0,148.0,1648.59912453
9,164.0,1664.59907659,168.0,1668.59910563,,None,1676.59903809,174.0,1674.59904054,Right,9,1,9,10.0,166.0,1666.59909303
10,178.0,1678.59903914,182.0,1682.59902164,img/A/inside\sun_audojkeusubmhhcn.png,Indoor,1690.59901499,188.0,1688.59899399,NearRight,10,1,10,11.0,180.0,1680.59902304
11,196.0,1696.59897755,200.0,1700.59900064,img/A/inside\sun_anikjvdrxrywuyvr.png,Indoor,1708.598945,206.0,1706.5989408,Left,11,1,11,12.0,198.0,1698.5989807
12,210.0,1710.5989506,214.0,1714.59892505,,None,1722.5989093,220.0,1720.59890685,Left,12,1,12,13.0,212.0,1712.59893065
13,224.0,1724.59889006,228.0,1728.59888691,img/A/outside_nat\sun_bgibqzzsihgolcxc.png,Outdoor,1736.59890475,234.0,1734.59888866,Left,13,1,13,14.0,226.0,1726.59887816
14,238.0,1738.59884981,242.0,1742.59883406,img/A/outside_nat\sun_bkkgqovtrozgolhf.png,Outdoor,1752.59881376,250.0,1750.59879627,NearLeft,14,1,14,15.0,240.0,1740.59883546
15,256.0,1756.59879277,260.0,1760.59878087,,None,1768.59876372,266.0,1766.59878192,Right,15,1,15,16.0,258.0,1758.59878157
16,276.0,1776.59873922,280.0,1780.59875777,img/A/inside\sun_agvgmjswjlfrnaqe.png,Indoor,1790.59868638,288.0,1788.59869723,Left,16,1,16,17.0,278.0,1778.59872627
17,298.0,1798.59994835,302.0,1802.59865733,img/A/outside_nat\sun_bdynfewnzhagkaes.png,Outdoor,1812.59864718,310.0,1810.59862723,NearRight,17,1,17,18.0,300.0,1800.59865453
18,314.0,1814.59882286,318.0,1818.59863598,,None,1826.59857859,324.0,1824.59857719,NearLeft,18,1,18,19.0,316.0,1816.59860274
19,328.0,1828.59864683,332.0,1832.59859014,img/A/inside\sun_atbyxovooehnzemf.png,Indoor,1842.59853134,340.0,1840.59852294,Right,19,1,19,20.0,330.0,1830.59979191
20,350.0,1850.59847535,354.0,1854.5984855,img/A/outside_man\sun_astlunkqpzghjdau.png,Outdoor,1862.59847115,360.0,1860.598496,Left,20,1,20,21.0,352.0,1852.59849215
21,366.0,1866.59844735,370.0,1870.598433,,None,1878.59843895,376.0,1876.59843265,NearLeft,21,1,21,22.0,368.0,1868.59843475
22,380.0,1880.59840676,384.0,1884.59839591,img/A/inside\sun_akapxrydwpdgvlck.png,Indoor,1896.59835181,394.0,1894.59834551,NearLeft,22,1,22,23.0,382.0,1882.59839591
23,398.0,1898.59839556,402.0,1902.59833606,,None,1910.59829617,408.0,1908.59833151,NearRight,23,1,23,24.0,400.0,1900.59833396
